controller_id,reward_condition,policy_step,kind,terminated,truncated,controller_terminal,next_observation_is_none,target,learner_reward
A,mean_pbrs,32,ongoing,False,False,False,False,0.0077608388534759825,0.0077608388534759825
B,mean_pbrs,32,ongoing,False,False,False,False,0.004495257472752346,0.004495257472752346
A,mean_pbrs,33,ongoing,False,False,False,False,0.007919894322991962,0.007919894322991962
B,mean_pbrs,33,ongoing,False,False,False,False,0.004531236019191387,0.004531236019191387
A,mean_pbrs,34,ongoing,False,False,False,False,0.008071784034655806,0.008071784034655806
B,mean_pbrs,34,ongoing,False,False,False,False,0.004560048807778339,0.004560048807778339
A,mean_pbrs,35,ongoing,False,False,False,False,0.008218094358587048,0.008218094358587048
B,mean_pbrs,35,ongoing,False,False,False,False,0.004583282208632644,0.004583282208632644
A,mean_pbrs,36,ongoing,False,False,False,False,0.008298458482402094,0.008298458482402094
B,mean_pbrs,36,ongoing,False,False,False,False,0.004602107870909311,0.004602107870909311
A,mean_pbrs,37,ongoing,False,False,False,False,0.008313758637223768,0.008313758637223768
B,mean_pbrs,37,ongoing,False,False,False,False,0.004617408025730985,0.004617408025730985
A,mean_pbrs,38,ongoing,False,False,False,False,0.008326208926065415,0.008326208926065415
B,mean_pbrs,38,ongoing,False,False,False,False,0.004629858314572588,0.004629858314572588
A,mean_pbrs,39,ongoing,False,False,False,False,0.008336334542019453,0.008336334542019453
B,mean_pbrs,39,ongoing,False,False,False,False,0.004639983930526626,0.004639983930526626
A,mean_pbrs,40,ongoing,False,False,False,False,0.008344549146832936,0.008344549146832936
B,mean_pbrs,40,ongoing,False,False,False,False,0.004648198535340153,0.004648198535340153
A,mean_pbrs,41,ongoing,False,False,False,False,0.008351182392821243,0.008351182392821243
B,mean_pbrs,41,ongoing,False,False,False,False,0.004654831781328461,0.004654831781328461
A,mean_pbrs,42,ongoing,False,False,False,False,0.008356499738348821,0.008356499738348821
B,mean_pbrs,42,ongoing,False,False,False,False,0.004660149126855995,0.004660149126855995
A,mean_pbrs,43,ongoing,False,False,False,False,0.008360716947710123,0.008360716947710123
B,mean_pbrs,43,ongoing,False,False,False,False,0.004664366336217297,0.004664366336217297
A,mean_pbrs,44,ongoing,False,False,False,False,0.008364010858681815,0.008364010858681815
B,mean_pbrs,44,ongoing,False,False,False,False,0.004667660247189032,0.004667660247189032
A,mean_pbrs,45,ongoing,False,False,False,False,0.008366527486746688,0.008366527486746688
B,mean_pbrs,45,ongoing,False,False,False,False,0.004670176875253862,0.004670176875253862
A,mean_pbrs,46,controller_terminal,False,False,True,True,0.6000606958928676,0.6000606958928676
B,mean_pbrs,46,ongoing,False,False,False,False,0.004672037589068201,0.004672037589068201
B,mean_pbrs,47,ongoing,False,False,False,False,0.004673343870102143,0.004673343870102143
B,mean_pbrs,48,ongoing,False,False,False,False,0.004674181019914259,0.004674181019914259
B,mean_pbrs,49,ongoing,False,False,False,False,0.004674621076118046,0.004674621076118046
B,mean_pbrs,50,ongoing,False,False,False,False,0.004674725126905721,0.004674725126905721
B,mean_pbrs,51,ongoing,False,False,False,False,0.004674545163826283,0.004674545163826283
B,mean_pbrs,52,ongoing,False,False,False,False,0.004674125576721378,0.004674125576721378
B,mean_pbrs,53,ongoing,False,False,False,False,0.004673504368883763,0.004673504368883763
B,mean_pbrs,54,ongoing,False,False,False,False,0.004672714151647117,0.004672714151647117
B,mean_pbrs,55,ongoing,False,False,False,False,0.0046717829637188185,0.0046717829637188185
B,mean_pbrs,56,ongoing,False,False,False,False,0.004670734950223143,0.004670734950223143
B,mean_pbrs,57,ongoing,False,False,False,False,0.0046695909286547325,0.0046695909286547325
B,mean_pbrs,58,ongoing,False,False,False,False,0.004668368863063677,0.004668368863063677
B,mean_pbrs,59,ongoing,False,False,False,False,0.0046670842633001145,0.0046670842633001145
B,mean_pbrs,60,ongoing,False,False,False,False,0.0046657505226984424,0.0046657505226984424
B,mean_pbrs,61,ongoing,False,False,False,False,0.004664379204902347,0.004664379204902347
B,mean_pbrs,62,ongoing,False,False,False,False,0.004662980288448093,0.004662980288448093
B,mean_pbrs,63,ongoing,False,False,False,False,0.004661562376085038,0.004661562376085038
B,mean_pbrs,64,ongoing,False,False,False,False,0.004660132874516477,0.004660132874516477
B,mean_pbrs,65,ongoing,False,False,False,False,0.004658698149218177,0.004658698149218177
B,mean_pbrs,66,controller_terminal,True,False,True,True,0.413458295620564,0.413458295620564
A,min_pbrs,1,ongoing,False,False,False,False,0.008164615384615437,0.008164615384615437
B,min_pbrs,1,ongoing,False,False,False,False,0.008775912159490617,0.008775912159490617
A,min_pbrs,2,ongoing,False,False,False,False,0.008267692307692365,0.008267692307692365
B,min_pbrs,2,ongoing,False,False,False,False,0.008878899239918992,0.008878899239918992
A,min_pbrs,3,ongoing,False,False,False,False,0.008370769230769315,0.008370769230769315
B,min_pbrs,3,ongoing,False,False,False,False,0.008981886320347377,0.008981886320347377
A,min_pbrs,4,truncation,False,True,False,False,0.00847384615384622,0.00847384615384622
B,min_pbrs,4,truncation,False,True,False,False,0.009084873400775729,0.009084873400775729
