condition,seed,checkpoint,replay_len_A,replay_len_B,update_count_A,update_count_B,td_abs_mean,td_abs_p95,td_sample_n,replay_terminal_frac_A,replay_terminal_frac_B
double_dqn,63015,100000,20000,20000,85454,74731,0.0162707208765773,0.0408623218536376,254,0.00390625,0.02734375
double_dqn,63017,0,0,0,0,0,,,0,,
double_dqn,63015,300000,20000,20000,253977,248483,0.0115702358030137,0.042384585738182,252,0.01953125,0.00390625
double_dqn,63016,200000,20000,20000,164242,128974,0.0193317662037554,0.0651977777481078,252,0.01953125,0.01953125
double_dqn,63016,25000,20000,20000,21517,20298,0.0544931248277425,0.1669448137283324,250,0.015625,0.02734375
double_dqn,63017,10000,8390,8674,7879,8163,0.0399302068849157,0.132936991751194,251,0.01953125,0.01953125
double_dqn,63016,75000,20000,20000,60192,42489,0.0084549643275305,0.0385156571865081,254,0.0,0.0078125
double_dqn,63016,250000,20000,20000,210056,164952,0.0135427832367863,0.0504005372524261,253,0.01953125,0.03515625
double_dqn,63016,100000,20000,20000,83807,49963,0.0088820542860408,0.02453373670578,253,0.00390625,0.00390625
double_dqn,63016,300000,20000,20000,254247,205092,0.0139833763241767,0.0410977244377136,253,0.0078125,0.015625
double_dqn,63016,50000,20000,20000,38941,33911,0.0186299179913476,0.0694140493869781,256,0.0078125,0.015625
double_dqn,63016,150000,20000,20000,126298,84297,0.0141264649012343,0.040824007987976,253,0.01953125,0.01953125
double_dqn,63017,25000,20000,20000,19643,20616,0.0335170310653245,0.1296125411987304,253,0.0,0.0078125
double_dqn,63017,50000,20000,20000,40550,38849,0.0097509894682013,0.0264632940292358,253,0.02734375,0.0234375
double_dqn,63018,10000,8860,7775,8349,7264,0.0421602115301149,0.1379294797778129,252,0.01171875,0.00390625
double_dqn,63017,75000,20000,20000,60880,61472,0.0153021915691105,0.0375104516744613,254,0.01953125,0.015625
double_dqn,63017,100000,20000,20000,83624,82210,0.0114227115165574,0.031182038784027,253,0.01171875,0.01953125
double_dqn,63017,200000,20000,20000,175419,171422,0.0166148029027446,0.0503608882427215,248,0.0234375,0.01953125
double_dqn,63017,150000,20000,20000,129008,126107,0.0105680366198855,0.0304744839668273,251,0.01171875,0.015625
double_dqn,63018,0,0,0,0,0,,,0,,
double_dqn,63018,50000,20000,20000,40646,42861,0.0140163638439786,0.0412559807300567,251,0.00390625,0.02734375
double_dqn,63018,25000,19351,20000,18840,21020,0.0426906884696141,0.1645382791757583,251,0.015625,0.00390625
double_dqn,63018,75000,20000,20000,62869,65874,0.0164646866125246,0.0466979965567588,252,0.015625,0.015625
double_dqn,63019,0,0,0,0,0,,,0,,
double_dqn,63017,300000,20000,20000,221354,268267,0.0190941609734413,0.0589096993207931,255,0.00390625,0.0
double_dqn,63017,250000,20000,20000,193541,220234,0.0129503213723186,0.0363416910171508,253,0.0234375,0.0
double_dqn,63018,100000,20000,20000,85535,87891,0.0154513511438614,0.0353806853294372,253,0.01953125,0.015625
double_dqn,63018,150000,20000,20000,125427,131791,0.0124177981825435,0.0294976413249969,255,0.0078125,0.0078125
double_dqn,63018,200000,20000,20000,170290,174500,0.0100270277554435,0.0366759300231933,252,0.01171875,0.01953125
double_dqn,63019,10000,9011,8210,8500,7699,0.0339735512543155,0.0964755102992057,249,0.03125,0.015625
double_dqn,63018,300000,20000,20000,264163,236350,0.0154601316383704,0.0440324306488036,253,0.00390625,0.0234375
double_dqn,63020,0,0,0,0,0,,,0,,
double_dqn,63019,75000,20000,20000,53890,56282,0.0134016787051223,0.0436546504497528,256,0.00390625,0.00390625
double_dqn,63019,100000,20000,20000,77292,75151,0.0125274221640992,0.0347933411598205,249,0.0078125,0.0234375
double_dqn,63019,200000,20000,20000,167712,146175,0.0130192262264108,0.0449652671813964,253,0.01953125,0.01171875
double_dqn,63019,150000,20000,20000,124853,110522,0.0144938574660392,0.0442337721586227,252,0.015625,0.015625
double_dqn,63018,250000,20000,20000,216058,215451,0.0122516200822942,0.0289083451032638,255,0.02734375,0.0234375
double_dqn,63019,25000,20000,20000,19917,20724,0.0552702936170836,0.1917160868644712,253,0.00390625,0.02734375
double_dqn,63020,10000,8869,8247,8358,7736,0.047065981615909,0.1592453002929687,253,0.0234375,0.015625
double_dqn,63019,50000,20000,20000,39643,38066,0.0199223282554792,0.0568932056427001,252,0.00390625,0.015625
double_dqn,63019,300000,20000,20000,264208,206947,0.0114404347937876,0.033960935473442,254,0.0078125,0.015625
double_dqn,63019,250000,20000,20000,216003,171930,0.0083470251851194,0.025097119808197,254,0.0,0.02734375
double_dqn,63020,25000,20000,19918,22221,19407,0.0467029322087764,0.1538831949234008,250,0.0078125,0.01171875
double_dqn,63020,300000,20000,20000,212420,255305,0.0122340772095627,0.0424187794327735,254,0.015625,0.01171875
double_dqn,63020,75000,20000,20000,39058,67506,0.0188361318432725,0.0763760507106781,256,0.0078125,0.00390625
double_dqn,63020,200000,20000,20000,138278,164567,0.0101191475114319,0.0319180637598037,256,0.0234375,0.015625
double_dqn,63020,150000,20000,20000,98656,117992,0.014955217541442,0.044299554824829,253,0.01953125,0.0078125
double_dqn,63020,50000,20000,20000,32502,42716,0.0186846280703321,0.0622613131999969,256,0.01953125,0.0
double_dqn,63020,100000,20000,20000,59123,83393,0.0155731590355143,0.053329801559448,255,0.01171875,0.01171875
double_dqn,63020,250000,20000,20000,182010,210277,0.0162223612560945,0.0385414958000182,255,0.0,0.0
vanilla_dqn,63001,300000,20000,20000,250547,196329,0.011229485746413942,0.03186867535114287,252,0.015625,0.00390625
