condition,seed,checkpoint,n_swap_pairs_total,n_swap_pairs_role_valid,n_swap_pairs_eligible,n_swap_pairs_changed,D_swap,swap_eligibility
vanilla_dqn,63001,10000,8,8,1,0,0.0,0.125
vanilla_dqn,63001,25000,8,8,0,0,,0.0
vanilla_dqn,63001,50000,8,8,0,0,,0.0
vanilla_dqn,63001,75000,8,8,0,0,,0.0
vanilla_dqn,63001,100000,8,8,0,0,,0.0
vanilla_dqn,63001,150000,8,8,4,2,0.5,0.5
vanilla_dqn,63001,200000,8,8,6,3,0.5,0.75
vanilla_dqn,63001,250000,8,8,8,3,0.375,1.0
vanilla_dqn,63001,300000,8,8,2,0,0.0,0.25
vanilla_dqn,63002,0,8,8,0,0,,0.0
vanilla_dqn,63002,10000,8,8,2,0,0.0,0.25
vanilla_dqn,63002,25000,8,8,0,0,,0.0
vanilla_dqn,63002,50000,8,8,0,0,,0.0
vanilla_dqn,63002,75000,8,8,0,0,,0.0
vanilla_dqn,63002,100000,8,8,0,0,,0.0
vanilla_dqn,63002,150000,8,8,0,0,,0.0
vanilla_dqn,63002,200000,8,8,0,0,,0.0
vanilla_dqn,63002,250000,8,8,0,0,,0.0
vanilla_dqn,63002,300000,8,8,0,0,,0.0
vanilla_dqn,63003,0,8,8,0,0,,0.0
vanilla_dqn,63003,10000,8,8,0,0,,0.0
vanilla_dqn,63003,25000,8,8,5,2,0.4,0.625
vanilla_dqn,63003,50000,8,8,1,1,1.0,0.125
vanilla_dqn,63003,75000,8,8,0,0,,0.0
vanilla_dqn,63003,100000,8,8,0,0,,0.0
vanilla_dqn,63003,150000,8,8,4,0,0.0,0.5
vanilla_dqn,63003,200000,8,8,4,2,0.5,0.5
vanilla_dqn,63003,250000,8,8,8,2,0.25,1.0
vanilla_dqn,63003,300000,8,8,1,1,1.0,0.125
vanilla_dqn,63004,0,8,8,1,1,1.0,0.125
vanilla_dqn,63004,10000,8,8,0,0,,0.0
vanilla_dqn,63004,25000,8,8,7,0,0.0,0.875
vanilla_dqn,63004,50000,8,8,0,0,,0.0
vanilla_dqn,63004,75000,8,8,0,0,,0.0
vanilla_dqn,63004,100000,8,8,0,0,,0.0
vanilla_dqn,63004,150000,8,8,0,0,,0.0
