block_id,assignment,block_index,episode_seed,steps,episode_length,term_reason,success,collision,terminated,truncated,convention,learner_A_utility,learner_B_utility,B_front_utility,B_rear_utility,worst_off_stakeholder_identity,discounted_base_return_A,discounted_base_return_B,discounted_learner_reward_A,discounted_learner_reward_B,collision_type,minimum_bumper_gap,minimum_TTC,hard_braking_rate,background_maximum_braking,formal_job_id,condition,master_seed,checkpoint_step,checkpoint_index,evaluation_seed_base,reconstruction_source,published_episode_payload_available,utility_A,utility_B,utility_B_front,utility_B_rear,roles_json,exit_time_json
validation_008,1,7,566017,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0,B,0.7045435778670494,-0.1506364608822361,0.7045435778670494,-0.1506364608822361,none,24.317000248991278,,0.0425,4.976275463142841,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 57, ""B"": null, ""B_front"": 39, ""B_rear"": null}"
validation_001,0,0,566003,66,66,success,True,False,True,False,mainline_first,1.0,1.0,1.0,0.8218195276829636,B_rear,0.7916443456030628,0.7193770045321052,0.7916443456030628,0.7193770045321052,none,25.50932717368869,,0.030303030303030304,6.000000000000014,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,1.0,1.0,0.8218195276829636,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": 48, ""B"": 66, ""B_front"": 36, ""B_rear"": null}"
validation_001,1,0,566004,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0,B,0.7382478074376492,-0.15823437733187812,0.7382478074376492,-0.15823437733187812,none,16.949317990373416,,0.04625,2.6922434654871807,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 62, ""B"": null, ""B_front"": 36, ""B_rear"": null}"
validation_002,0,1,566005,72,72,success,True,False,True,False,ramp_first,1.0,1.0,1.0,0.5814746682924554,B_rear,0.6176068136932774,0.6257483357529151,0.6176068136932774,0.6257483357529151,none,7.334173914945765,18.00839063377195,0.22916666666666666,6.000000000000014,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,1.0,1.0,0.5814746682924554,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": 72, ""B"": 54, ""B_front"": 40, ""B_rear"": null}"
validation_002,1,1,566006,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0186476307731376,B,0.741233682714562,-0.4105582423429092,0.741233682714562,-0.4105582423429092,none,13.531629576261054,,0.23375,6.000000000000014,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0186476307731376,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 57, ""B"": null, ""B_front"": 40, ""B_rear"": null}"
validation_003,0,2,566007,84,84,success,True,False,True,False,mainline_first,1.0,1.0,1.0,0.4381048484215551,B_rear,0.7943201428967681,0.4874488065589381,0.7943201428967681,0.4874488065589381,none,32.02467131487161,,0.16666666666666666,6.000000000000014,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,1.0,1.0,0.4381048484215551,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": 47, ""B"": 84, ""B_front"": 36, ""B_rear"": null}"
validation_003,1,2,566008,400,400,truncation,False,False,False,True,,1.0,0.03999999999999995,1.0,0.027194290683622287,B_rear,0.7441152765073796,-0.4203709714160492,0.7441152765073796,-0.4203709714160492,none,12.210378717192782,,0.2325,2.6922434654871807,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,0.03999999999999995,1.0,0.027194290683622287,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 59, ""B"": null, ""B_front"": 36, ""B_rear"": null}"
validation_004,0,3,566009,111,111,success,True,False,True,False,ramp_first,1.0,1.0,1.0,0.4144077543249418,B_rear,0.4523510140940717,0.37658168971689665,0.4523510140940717,0.37658168971689665,none,-0.36591042803540574,0.0,0.3333333333333333,2.6454516268761807,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,1.0,1.0,0.4144077543249418,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": 111, ""B"": 89, ""B_front"": 39, ""B_rear"": null}"
validation_004,1,3,566010,291,291,success,True,False,True,False,ramp_first,1.0,1.0,1.0,0.2897301600866702,B_rear,0.7814422265854482,-0.11756138846503081,0.7814422265854482,-0.11756138846503081,none,9.447620607413455,,0.18900343642611683,3.2601209793560315,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,1.0,1.0,0.2897301600866702,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 53, ""B"": 291, ""B_front"": 39, ""B_rear"": null}"
validation_005,0,4,566011,83,83,success,True,False,True,False,ramp_first,1.0,1.0,1.0,0.5943390336388845,B_rear,0.5993802158548158,0.6187568871167958,0.5993802158548158,0.6187568871167958,none,5.334173914945808,,0.20481927710843373,6.000000000000014,baseline__61003,baseline,61003,100000,5,561003,final_online_target_weights.pt,False,1.0,1.0,1.0,0.5943390336388845,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": 83, ""B"": 50, ""B_front"": 40, ""B_rear"": null}"
