condition,seed,step,artifact_type,logical_artifact_id,size_bytes,sha256,load_validated,backup_status,storage_location
vanilla_dqn,63002,300000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_300000.json,713,ae57cd0719b26b2fef50b351ad9fb45d2fd4d916c7bdb94d0659ca15b664478e,True,not_available,experiment_machine_local
vanilla_dqn,63002,250000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_250000_full.pt,41341471,a54178fc318fd233d33c5fe3f797d912d33afa803a51a68d2df72fda2a586899,True,not_available,experiment_machine_local
vanilla_dqn,63002,250000,weights,vanilla_dqn/seed_63002/weights_step_250000.pt,106781,e0eca4766fb2b9ac8e2b9ad84c9e3e3d111da7800d41a2a0519f99d956e21c34,True,not_available,experiment_machine_local
vanilla_dqn,63002,250000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_250000.json,713,9b51cd0ca6b7d50eeaea89b412dc9874cd1c036284c17e63f260cdea7c648dfa,True,not_available,experiment_machine_local
vanilla_dqn,63003,25000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_25000_full.pt,43293724,3f4eee83ee82be225c609658da8e7d253b32d1636362dc5707fdb6f5054628ea,True,not_available,experiment_machine_local
vanilla_dqn,63003,25000,weights,vanilla_dqn/seed_63003/weights_step_25000.pt,106687,6638e63cc2e59059be7162971461c1633db0fd7942155e20414c41a9691e8579,True,not_available,experiment_machine_local
vanilla_dqn,63003,25000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_25000.json,710,fe2cb985afdd97dcb4b8d8156a0193fb898cb9ca7042ceca09270c158db3d971,True,not_available,experiment_machine_local
vanilla_dqn,63004,0,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_0_full.pt,123148,06dfb06ef4c8b26515d5323ce787393f07dab9dba58be071d1068b284f36ca63,True,not_available,experiment_machine_local
vanilla_dqn,63004,0,weights,vanilla_dqn/seed_63004/weights_step_0.pt,106567,987ca1e3ad6d327e24e51d55eaa26fac5119ed6b30a999f7b2e1f0283bb93a89,True,not_available,experiment_machine_local
vanilla_dqn,63004,0,checkpoint_metadata,vanilla_dqn/seed_63004/checkpoint_metadata_0.json,696,5c7680db70c4c539de145ca6d783242137f3bd834144c78c9f343cfb5740557c,True,not_available,experiment_machine_local
vanilla_dqn,63003,200000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_200000_full.pt,46205727,30b8b320b04405b7f16c5db451b2a84bbea4daf3c4582b74059458e394c90eca,True,not_available,experiment_machine_local
vanilla_dqn,63003,200000,weights,vanilla_dqn/seed_63003/weights_step_200000.pt,106781,4a7bc5969cc920f22def8583dcb0ff92ff962190f4730cb251629bd9bcb31eb2,True,not_available,experiment_machine_local
vanilla_dqn,63003,200000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_200000.json,713,94020e0e8ac91085ee488408f77262cdf444ed5168f963f123d21ae1c5d693f8,True,not_available,experiment_machine_local
vanilla_dqn,63003,250000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_250000_full.pt,46770591,b709cb8a84fff03dd793904e9b7bd7fd6550b938a27aac222c9093e6ed5c2afc,True,not_available,experiment_machine_local
vanilla_dqn,63003,250000,weights,vanilla_dqn/seed_63003/weights_step_250000.pt,106781,0329641aaab14283b7b8d1a5dc731cb70d08e751afcabae699d450b9282aded8,True,not_available,experiment_machine_local
vanilla_dqn,63003,250000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_250000.json,713,7ead70d04365efbf9419ec5c9eca4cc9d2b5e07e4ed40b49e33a72380b821ce1,True,not_available,experiment_machine_local
vanilla_dqn,63003,150000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_150000_full.pt,42496607,a79fd252387af37008ff8c9be6ec1325a380d9e8c41928ab2291de1265c41c91,True,not_available,experiment_machine_local
vanilla_dqn,63003,150000,weights,vanilla_dqn/seed_63003/weights_step_150000.pt,106781,d320963986b95c66f0fb307cae33d52543218882f3c74e62498a1460222bd458,True,not_available,experiment_machine_local
vanilla_dqn,63003,150000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_150000.json,713,8a22d4d730ec83de0525329bb6d220f00e14b78c026910addfacaa023cd2f912,True,not_available,experiment_machine_local
vanilla_dqn,63003,50000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_50000_full.pt,44440924,339d2745967c0d411d0d824053c0b9f95633e1f6374912e79fccffc95b6815cb,True,not_available,experiment_machine_local
