episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied
69,0.05,1.4756805073176356,12,1,0,1,0,0,0,safe_merge,12,9.459624173302695,8.92549896393754,1.0,0.0,0,1,0,0
70,0.05,-9.270311200053511,24,1,1,0,1,0,0,unsafe_merge,24,6.740431715092512,2.9181169228094723,-4.0,0.5,0,1,0,1
71,0.05,1.3291725028994559,33,1,0,1,0,0,0,safe_merge,33,2.572023876911996,-1.6128759331954765,-8.0,0.5,0,1,0,0
72,0.05,1.4840648761330635,15,1,0,1,0,0,0,safe_merge,15,8.061392026003118,7.011953984333257,1.0,0.0,0,1,0,0
73,0.05,1.5226344655914732,17,1,0,1,0,0,0,safe_merge,17,8.232005881892018,7.14864077166439,1.0,0.0,0,1,0,0
74,0.05,1.9392525044107585,15,1,0,1,0,0,0,safe_merge,15,11.385004918024265,8.840462921952735,1.0,0.0,0,1,0,0
75,0.05,-3.203538148682454,100,0,0,0,0,0,1,max_steps_unmerged,,-12.110230343751873,-21.369672140156354,-58.0,0.5,0,0,1,0
76,0.05,1.4614530892797812,46,1,0,1,0,0,0,safe_merge,46,-1.3204476171492994,-5.0976772717116,-25.0,0.5,0,1,0,0
77,0.05,-3.4449100498021927,100,0,0,0,0,0,1,max_steps_unmerged,,-15.339668141111646,-27.885381454647014,-57.0,0.5,0,0,1,0
78,0.05,1.231999918875548,51,1,0,1,0,0,0,safe_merge,51,-2.2191264821534604,-6.164695771861122,-25.0,0.5,0,1,0,0
79,0.05,1.6698485662247866,21,1,0,1,0,0,0,safe_merge,21,8.275861366900253,3.96284155820444,1.0,0.0,0,1,0,0
80,0.05,1.6745974282223153,21,1,0,1,0,0,0,safe_merge,21,8.254398070427241,3.683670744356568,1.0,0.0,0,1,0,0
81,0.05,0.765867719764727,62,1,0,1,0,0,0,safe_merge,62,-5.9172819497558615,-12.15085344026358,-39.0,0.5,0,1,0,0
82,0.05,-3.161877519101668,100,0,0,0,0,0,1,max_steps_unmerged,,-13.901520396580766,-24.823449167296396,-54.0,0.5,0,0,1,0
83,0.05,1.1734022322576865,33,1,0,1,0,0,0,safe_merge,33,2.8060382863634157,-1.187359023580553,0.0,0.5,0,1,0,0
84,0.05,-3.102773677967112,100,0,0,0,0,0,1,max_steps_unmerged,,-14.072512440531291,-25.073627034195056,-61.0,0.5,0,0,1,0
85,0.05,1.9147406964592222,15,1,0,1,0,0,0,safe_merge,15,11.107400690653764,7.388411079115666,0.4764260946983767,0.17731124747174887,0,1,0,0
86,0.05,1.0589892459297783,60,1,0,1,0,0,0,safe_merge,60,-5.011858258916481,-10.048763237316287,-31.0,0.5,0,1,0,0
87,0.05,0.9890919479264048,64,1,0,1,0,0,0,safe_merge,64,-5.232860107050137,-9.942431446143969,-24.0,0.5,0,1,0,0
88,0.05,-9.055471113748082,18,1,1,0,1,0,0,unsafe_merge,18,10.242568594181433,7.671900092361802,1.0,0.0,0,1,0,1
89,0.05,1.8767858428119726,26,1,0,1,0,0,0,safe_merge,26,6.553848253599385,4.844435211868303,-5.0,0.5,0,1,0,0
90,0.05,1.6273106513408928,21,1,0,1,0,0,0,safe_merge,21,7.94323443862608,3.2037587224046895,0.5071181830013564,0.16351797176817673,0,1,0,0
91,0.05,1.6167118368452345,22,1,0,1,0,0,0,safe_merge,22,7.601336674938344,3.355292778163498,1.0,0.0,0,1,0,0
92,0.05,1.4629490732409296,24,1,0,1,0,0,0,safe_merge,24,6.228804630272998,1.6773182989614621,1.0,0.0,0,1,0,0
93,0.05,1.6702174915545904,28,1,0,1,0,0,0,safe_merge,28,3.76588755800375,0.9943252184720842,-13.0,0.5,0,1,0,0
94,0.05,-9.071235009172637,17,1,1,0,1,0,0,unsafe_merge,17,10.63944972775368,7.642738257933433,1.0,0.0,0,1,0,1
95,0.05,-0.6224570545222184,96,1,0,1,0,0,0,safe_merge,96,-11.487023652840984,-20.782200900317523,-52.0,0.5,0,1,0,0
96,0.05,1.0828904882676362,67,1,0,1,0,0,0,safe_merge,67,-3.2762973992468747,-6.391937291120583,-18.0,0.5,0,1,0,0
97,0.05,0.8222039524872394,89,1,0,1,0,0,0,safe_merge,89,-3.350919369547351,-6.066598997427564,-23.0,0.5,0,1,0,0
98,0.05,1.4175227867059517,10,1,0,1,0,0,0,safe_merge,10,10.177548820411364,9.69081063203132,0.5061885584861152,0.16392749723521294,0,1,0,0
99,0.05,1.8857091022115755,29,1,0,1,0,0,0,safe_merge,29,6.15673934863414,3.8570218268604117,1.0,0.0,0,1,0,0
