master_seed,validation_block_id,assignment,controller,success,maintain_frac,accelerate_frac,decelerate_frac,action_switch_rate
61005,validation_001,0,B,True,0.3125,0.6875,0.0,0.06382978723404255
61005,validation_001,1,A,False,0.18181818181818182,0.06060606060606061,0.7575757575757576,0.0625
61005,validation_001,1,B,False,0.030303030303030304,0.09090909090909091,0.8787878787878788,0.1875
61005,validation_002,0,A,False,0.0075,0.0,0.9925,0.012531328320802004
61005,validation_002,0,B,False,0.9675,0.0325,0.0,0.012531328320802004
61005,validation_002,1,A,False,0.9,0.02,0.08,0.040100250626566414
61005,validation_002,1,B,False,0.0,0.0,1.0,0.0
61005,validation_003,0,A,False,0.25,0.5,0.25,0.21052631578947367
61005,validation_003,0,B,False,0.35,0.55,0.1,0.10526315789473684
61005,validation_003,1,A,False,0.06840390879478828,0.16612377850162866,0.7654723127035831,0.0196078431372549
61005,validation_003,1,B,False,0.1270358306188925,0.48859934853420195,0.38436482084690554,0.5555555555555556
61005,validation_004,0,A,True,0.5217391304347826,0.17391304347826086,0.30434782608695654,0.16176470588235295
61005,validation_004,0,B,True,0.3188405797101449,0.43478260869565216,0.2463768115942029,0.19117647058823528
61005,validation_004,1,A,False,0.9975,0.0,0.0025,0.002506265664160401
61005,validation_004,1,B,False,0.0275,0.0225,0.95,0.010025062656641603
61005,validation_005,0,A,True,0.7580645161290323,0.20967741935483872,0.03225806451612903,0.08196721311475409
61005,validation_005,0,B,True,0.3064516129032258,0.6935483870967742,0.0,0.01639344262295082
61005,validation_005,1,A,False,0.9375,0.0,0.0625,0.02756892230576441
61005,validation_005,1,B,False,0.08,0.035,0.885,0.08771929824561403
61005,validation_006,0,A,True,0.7531645569620253,0.11392405063291139,0.13291139240506328,0.09554140127388536
61005,validation_006,0,B,True,0.9113924050632911,0.08860759493670886,0.0,0.01910828025477707
61005,validation_006,1,A,False,0.9725,0.0,0.0275,0.007518796992481203
61005,validation_006,1,B,False,0.0775,0.015,0.9075,0.040100250626566414
61005,validation_007,0,A,True,0.7012987012987013,0.11688311688311688,0.18181818181818182,0.0784313725490196
61005,validation_007,0,B,True,0.8311688311688312,0.16883116883116883,0.0,0.0196078431372549
61005,validation_007,1,A,False,0.9525,0.0,0.0475,0.02506265664160401
61005,validation_007,1,B,False,0.0875,0.01,0.9025,0.06265664160401002
61005,validation_008,0,A,True,0.5285714285714286,0.2,0.2714285714285714,0.13043478260869565
61005,validation_008,0,B,True,0.34285714285714286,0.44285714285714284,0.21428571428571427,0.21739130434782608
61005,validation_008,1,A,False,0.9775,0.0,0.0225,0.007518796992481203
61005,validation_008,1,B,False,0.0775,0.015,0.9075,0.06516290726817042
61006,validation_001,0,A,False,0.0275,0.0,0.9725,0.010025062656641603
61006,validation_001,0,B,False,0.925,0.045,0.03,0.010025062656641603
61006,validation_001,1,A,True,0.8869047619047619,0.10119047619047619,0.011904761904761904,0.023880597014925373
61006,validation_001,1,B,True,0.7410714285714286,0.11607142857142858,0.14285714285714285,0.07462686567164178
61006,validation_002,0,A,False,0.85,0.03,0.12,0.017543859649122806
61006,validation_002,0,B,False,0.0375,0.075,0.8875,0.020050125313283207
61006,validation_002,1,A,True,0.6136363636363636,0.38636363636363635,0.0,0.034482758620689655
61006,validation_002,1,B,True,0.056818181818181816,0.5681818181818182,0.375,0.034482758620689655
61006,validation_003,0,A,True,0.4936708860759494,0.24050632911392406,0.26582278481012656,0.1282051282051282
61006,validation_003,0,B,True,0.7341772151898734,0.08860759493670886,0.17721518987341772,0.14102564102564102
