master_seed,checkpoint_step,condition,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,rich_log
66017,325000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,False
66017,350000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,True
66017,375000,mean_pbrs,1.0,0.0,0.0,0.0,64,True
66017,400000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,True
66018,0,mean_pbrs,0.5625,0.4375,0.0,0.125,16,True
66018,25000,mean_pbrs,0.4375,0.0,0.5625,0.0,16,False
66018,50000,mean_pbrs,0.375,0.125,0.5,0.0,16,False
66018,75000,mean_pbrs,1.0,0.0,0.0,0.875,16,False
66018,100000,mean_pbrs,0.875,0.125,0.0,0.0,16,False
66018,125000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66018,150000,mean_pbrs,0.9375,0.0625,0.0,0.125,16,False
66018,175000,mean_pbrs,0.875,0.125,0.0,0.125,16,False
66018,200000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66018,225000,mean_pbrs,0.75,0.25,0.0,0.0,64,False
66018,250000,mean_pbrs,1.0,0.0,0.0,0.625,64,False
66018,275000,mean_pbrs,0.5,0.0,0.5,0.125,64,False
66018,300000,mean_pbrs,0.375,0.0,0.625,0.0,64,False
66018,325000,mean_pbrs,0.375,0.125,0.5,0.0,64,False
66018,350000,mean_pbrs,1.0,0.0,0.0,0.25,64,True
66018,375000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66018,400000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66019,0,mean_pbrs,0.5,0.0,0.5,0.0,16,True
66019,25000,mean_pbrs,0.9375,0.0,0.0625,0.125,16,False
66019,50000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66019,75000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66019,100000,mean_pbrs,0.625,0.3125,0.0625,0.125,16,False
66019,125000,mean_pbrs,0.8125,0.0,0.1875,0.375,16,False
66019,150000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66019,175000,mean_pbrs,0.875,0.125,0.0,0.125,16,False
66019,200000,mean_pbrs,0.8125,0.125,0.0625,0.25,64,False
66019,225000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,False
66019,250000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66019,275000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,False
66019,300000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66019,325000,mean_pbrs,1.0,0.0,0.0,0.625,64,False
66019,350000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66019,375000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66019,400000,mean_pbrs,0.9375,0.0625,0.0,0.5,64,True
66020,0,mean_pbrs,0.0,0.0,1.0,0.0,16,True
66020,25000,mean_pbrs,0.875,0.125,0.0,0.0,16,False
66020,50000,mean_pbrs,0.4375,0.0,0.5625,0.0,16,False
66020,75000,mean_pbrs,0.75,0.125,0.125,0.0,16,False
66020,100000,mean_pbrs,0.75,0.125,0.125,0.0,16,False
66020,125000,mean_pbrs,0.6875,0.1875,0.125,0.125,16,False
66020,150000,mean_pbrs,1.0,0.0,0.0,0.0,16,False
66020,175000,mean_pbrs,0.9375,0.0625,0.0,0.125,16,False
66020,200000,mean_pbrs,0.875,0.0625,0.0625,0.125,64,False
66020,225000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,False
66020,250000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66020,275000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66020,300000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66020,325000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66020,350000,mean_pbrs,1.0,0.0,0.0,0.0,64,True
66020,375000,mean_pbrs,1.0,0.0,0.0,0.0,64,True
66020,400000,mean_pbrs,0.875,0.125,0.0,0.0,64,True
