master_seed,validation_block_id,assignment,controller,outcome,mean_abs_Q,Q_margin_mean,Q_margin_median,Q_margin_q10,Q_margin_q90,frac_margin_lt_1e-3,frac_margin_lt_1e-2,frac_margin_lt_5e-2
61004,validation_008,0,B,success,0.8431480490447333,0.010078955907374572,0.0035908520221709503,0.00071079730987541,0.032023167610168386,0.125,0.7265625,1.0
61004,validation_008,1,A,success,0.6642666248384342,0.08119437002366584,0.02413624525070185,0.00793230533599845,0.25746214911341664,0.0,0.16129032258064516,0.7258064516129032
61004,validation_008,1,B,success,0.7404053877758724,0.008310751568886499,0.0081107020378112,0.0018806755542755001,0.015284591913223169,0.06451612903225806,0.6935483870967742,1.0
61005,validation_001,0,A,success,0.7035661534302764,0.04194153348604834,0.0321785509586334,0.00891457200050347,0.08871977329254148,0.0,0.125,0.7291666666666666
61005,validation_001,0,B,success,0.9734440139598317,0.0762645949920018,0.09078681468963615,0.01337126493453975,0.12986142635345452,0.020833333333333332,0.08333333333333333,0.3333333333333333
61005,validation_001,1,A,collision,0.5043581095006731,0.018296500498598225,0.0138292014598846,0.00591382980346674,0.03941591978073116,0.0,0.30303030303030304,0.9696969696969697
61005,validation_001,1,B,collision,1.1743480593267113,0.03887910734523422,0.0430953502655029,0.004111409187316881,0.06340782642364495,0.06060606060606061,0.18181818181818182,0.6363636363636364
61005,validation_002,0,A,truncated,0.9477125778297584,0.010790366530418332,0.0096312761306762,0.0096312761306762,0.0096312761306762,0.005,0.905,0.99
61005,validation_002,0,B,truncated,1.4575497436523437,0.07639372795820233,0.08584725856781,0.024268913269042888,0.08584725856781,0.0075,0.055,0.1325
61005,validation_002,1,A,truncated,1.1575394593675932,0.0055708014965056615,0.0058180093765258,0.004451429843902551,0.0058180093765258,0.0275,0.98,1.0
61005,validation_002,1,B,truncated,1.8459228146076203,0.00639893800020215,0.0038032531738281,0.0038032531738281,0.01107782125473015,0.0,0.895,0.99
61005,validation_003,0,A,collision,0.6844142455607652,0.053291453048586804,0.016306489706039352,0.00330235958099357,0.11824273169040682,0.05,0.4,0.6
61005,validation_003,0,B,collision,0.8129172444343566,0.022418057918548534,0.01145255565643305,0.00265737771987911,0.05752382874488825,0.0,0.5,0.85
61005,validation_003,1,A,collision,1.122658479614962,0.025990990745904732,0.0291938781738281,0.0107683062553405,0.035388255119323676,0.013029315960912053,0.09771986970684039,1.0
61005,validation_003,1,B,collision,1.727456063566068,0.0234378740822453,0.0126745700836181,0.0026309967041015002,0.06220264434814451,0.04234527687296417,0.3745928338762215,0.8762214983713354
61005,validation_004,0,A,success,0.8127555279916036,0.005212334619052122,0.0042523741722106,0.0006646871566772201,0.01138782501220696,0.15942028985507245,0.8695652173913043,1.0
61005,validation_004,0,B,success,0.970021441074961,0.037049544894176945,0.0107697248458862,0.00124247074127192,0.11508998870849603,0.08695652173913043,0.4927536231884058,0.7246376811594203
61005,validation_004,1,A,truncated,1.057122933268547,0.0038861973583697628,0.0022765398025512,0.0022765398025512,0.010529613494873018,0.0125,0.8975,1.0
61005,validation_004,1,B,truncated,1.6898254364728929,0.004486308693885718,0.0036391019821166,0.0036391019821166,0.005164527893066389,0.005,0.9475,1.0
61005,validation_005,0,A,success,0.8533562069298118,0.004339454635497016,0.0040483176708221,0.00088081955909727,0.007837599515914841,0.12903225806451613,0.967741935483871,1.0
61005,validation_005,0,B,success,0.9637201135196993,0.03678362984811102,0.01521885395050045,0.00452689528465265,0.11894735097885127,0.0,0.4032258064516129,0.7419354838709677
61005,validation_005,1,A,truncated,0.9811013199885686,0.01935828834772104,0.0239595174789428,0.0042910277843474605,0.0239595174789428,0.0525,0.22,1.0
61005,validation_005,1,B,truncated,1.7766517740488053,0.003892940282821622,0.0038114786148071,0.0015261411666869212,0.0038114786148071,0.0725,0.9675,1.0
61005,validation_006,0,A,success,0.7740419324691789,0.00453422567512411,0.004326581954956,0.00079202651977536,0.00839559435844415,0.12658227848101267,0.9430379746835443,1.0
