condition,master_seed,checkpoint_step,n_episodes,success_rate,collision_rate,truncation_rate,mean_episode_length,unilateral_stall_rate,mutual_yielding_rate,convention_availability,swap_eligibility,minimum_utility,mean_utility,median_Q_margin,absolute_Q,late_collapse_flag
double_dqn,63008,100000,16,0.875,0.125,0.0,63.25,0.0,0.0,1.0,0.75,0.7049867977985332,0.8535615744562254,0.00664731764071985,0.6555230943663675,False
double_dqn,63008,150000,16,1.0,0.0,0.0,65.8125,0.0,0.0,1.0,1.0,0.8091805881757692,0.9087226331680004,0.0064005466551824,0.6867505008085678,False
double_dqn,63008,200000,16,1.0,0.0,0.0,53.4375,0.0,0.0,1.0,1.0,0.900930455091363,0.9644948394699661,0.0059590291458956005,0.7167166299635052,False
double_dqn,63008,250000,16,0.875,0.125,0.0,58.3125,0.0,0.0,1.0,0.75,0.7335702155253003,0.8724696270499529,0.00643836497550915,0.6684443639826946,False
double_dqn,63008,300000,16,0.6875,0.1875,0.125,101.875,0.125,0.0,1.0,0.5,0.5294518303403783,0.784573082968232,0.0088199959213858,0.707770407211971,False
double_dqn,63009,0,16,0.0,0.0,1.0,400.0,0.0625,0.9375,1.0,0.0,0.033287499999999956,0.30357766536711217,0.08050721225445155,0.07814981953968522,False
double_dqn,63009,10000,16,0.625,0.375,0.0,44.25,0.0,0.0,1.0,0.375,0.5556973023555336,0.7792936147373866,0.02003857571622255,0.4222643416490629,False
double_dqn,63009,25000,16,0.9375,0.0,0.0625,94.25,0.0,0.0,1.0,0.875,0.7087477134865858,0.8273686885802708,0.022282867971807653,0.874537573149488,False
double_dqn,63009,50000,16,0.875,0.0625,0.0625,91.25,0.0625,0.0,1.0,0.75,0.6346347526204231,0.8114352349715166,0.009552945787353152,0.7583229692820782,False
double_dqn,63009,75000,16,1.0,0.0,0.0,55.625,0.0,0.0,1.0,1.0,0.8811094797215109,0.9518020955095898,0.00630784125555125,0.6883269133600389,False
double_dqn,63009,100000,16,0.875,0.125,0.0,48.625,0.0,0.0,1.0,0.75,0.7913357753614148,0.9030134226709601,0.008133349100966952,0.6869325249356147,False
double_dqn,63009,150000,16,0.75,0.1875,0.0625,70.5625,0.0625,0.0,1.0,0.625,0.6711038395577602,0.855292632082894,0.0056833174212423,0.7164504459172992,False
double_dqn,63009,200000,16,1.0,0.0,0.0,53.375,0.0,0.0,1.0,1.0,0.9082707681712154,0.9644952896931058,0.00710570440052795,0.7060712736676429,False
double_dqn,63009,250000,16,1.0,0.0,0.0,58.8125,0.0,0.0,1.0,1.0,0.8677741612710026,0.9488726043611408,0.010923117167614,0.676657568180006,False
double_dqn,63009,300000,16,0.5,0.1875,0.3125,154.1875,0.3125,0.0,1.0,0.125,0.4821452899884362,0.7387150115378475,0.0032384222623896997,0.7716517786706708,True
double_dqn,63010,0,16,0.4375,0.0,0.5625,282.5625,0.5,0.0,1.0,0.0,0.2150126948911574,0.67701771316019,0.09257900268887165,0.13197082905884333,False
double_dqn,63010,10000,16,0.5625,0.3125,0.125,89.8125,0.0625,0.0625,1.0,0.25,0.4904705738653941,0.7320167050528708,0.03888970981067455,0.519389195459556,False
double_dqn,63010,25000,16,0.8125,0.1875,0.0,100.25,0.0,0.0,1.0,0.625,0.4515883327257361,0.7022602484563731,0.030185696192809253,1.0611545961377717,False
double_dqn,63010,50000,16,0.75,0.0,0.25,186.5,0.1875,0.0625,1.0,0.5,0.4782307556092886,0.6755358857114229,0.0165202976295547,0.7646325525768638,False
double_dqn,63010,75000,16,0.5,0.25,0.25,141.125,0.25,0.0,1.0,0.125,0.42766148688369454,0.7041178419657963,0.0158714492547333,0.6226493826521227,False
double_dqn,63010,100000,16,1.0,0.0,0.0,68.9375,0.0,0.0,1.0,1.0,0.7724101891413373,0.8920281847188916,0.02815222693082385,0.694387091109722,False
double_dqn,63010,150000,16,0.8125,0.0,0.1875,123.0625,0.1875,0.0,1.0,0.625,0.7047654136840968,0.8907409993969138,0.01076036874761415,0.6693279431762245,False
double_dqn,63010,200000,16,0.875,0.125,0.0,68.5,0.0,0.0,1.0,0.75,0.6833694022580441,0.8544014952290074,0.0150758140088694,0.6480196125098974,False
double_dqn,63010,250000,16,1.0,0.0,0.0,51.8125,0.0,0.0,1.0,1.0,0.9094608628576372,0.9645735227247154,0.006945586498036499,0.6513198309262633,False
double_dqn,63010,300000,16,0.4375,0.0625,0.5,239.0625,0.5,0.0,1.0,0.0,0.35025834449496906,0.6570785744522352,0.00440159440488995,0.6499495361915003,True
double_dqn,63011,0,16,0.0,0.0,1.0,400.0,1.0,0.0,1.0,0.0,0.035643749999999974,0.6255830738124794,0.07304615597007791,0.06630557389406017,False
double_dqn,63011,10000,16,0.875,0.125,0.0,72.75,0.0,0.0,1.0,0.75,0.6189487945459834,0.8359243828133907,0.04079115264327015,0.7503280835367165,False
double_dqn,63011,25000,16,0.75,0.0,0.25,236.625,0.0,0.0,1.0,0.5,0.41489583011976106,0.6321731746974603,0.032309788397154704,0.7173408372578506,False
double_dqn,63011,50000,16,0.5,0.0625,0.4375,206.25,0.4375,0.0,1.0,0.0,0.4498465388122608,0.7317355134751024,0.0256529941026008,0.9834170675962309,False
double_dqn,63011,75000,16,0.8125,0.0,0.1875,125.25,0.1875,0.0,1.0,0.625,0.6813493828747264,0.8499168928105134,0.0078153071928739,0.732439747632604,False
double_dqn,63011,100000,16,0.9375,0.0625,0.0,58.75,0.0,0.0,1.0,0.875,0.7956844095819099,0.9069726931247417,0.01266488162879435,0.7349708711063733,False
double_dqn,63011,150000,16,0.9375,0.0,0.0625,113.125,0.0,0.0625,1.0,0.875,0.6319317301509031,0.8011201061891633,0.0083304590569778,0.6911900894392218,False
double_dqn,63011,200000,16,1.0,0.0,0.0,96.5625,0.0,0.0,1.0,1.0,0.6467011344954109,0.82616422147556,0.01179583147783905,0.6890449203109832,False
double_dqn,63011,250000,16,1.0,0.0,0.0,74.5625,0.0,0.0,1.0,1.0,0.7662145849752635,0.9212312280712347,0.024936761968321598,0.7995802851848799,False
double_dqn,63011,300000,16,1.0,0.0,0.0,48.75,0.0,0.0,1.0,1.0,0.9189971859149617,0.972016149872884,0.0098946849265289,0.7075796957397217,False
double_dqn,63012,0,16,0.0,0.0,1.0,400.0,1.0,0.0,1.0,0.0,0.035643749999999974,0.5975882732037949,0.1698155937308911,0.16500267896830334,False
double_dqn,63012,10000,16,0.25,0.0,0.75,328.8125,0.75,0.0,1.0,0.0,0.15551227725366867,0.7300945325655378,0.02860368701629335,0.8797970319982076,False
double_dqn,63012,25000,16,0.9375,0.0,0.0625,94.5,0.0625,0.0,1.0,0.875,0.7152174519521319,0.865648036230548,0.0144245639353269,0.8059082392795476,False
double_dqn,63012,50000,16,0.75,0.0,0.25,161.5625,0.25,0.0,1.0,0.5,0.579090873664214,0.7978401857729155,0.02573665439121935,0.9262375353130649,False
double_dqn,63012,75000,16,0.9375,0.0625,0.0,52.5625,0.0,0.0,1.0,0.875,0.8255660154828163,0.9233036778349164,0.00955105198583765,0.7082246682496083,False
double_dqn,63012,100000,16,0.625,0.0,0.375,209.4375,0.375,0.0,1.0,0.25,0.4352031409410334,0.7139131568160924,0.01390557227447425,0.7544104242287272,False
double_dqn,63012,150000,16,0.75,0.125,0.125,127.6875,0.0625,0.0625,1.0,0.625,0.5614100564158677,0.7326277766980647,0.014322416756947051,0.7875756410681082,False
double_dqn,63012,200000,16,0.9375,0.0625,0.0,50.5,0.0,0.0,1.0,0.875,0.8592295540937982,0.9330141253074944,0.006570775621676,0.6995573613259027,False
double_dqn,63012,250000,16,0.5,0.0,0.5,263.25,0.375,0.125,1.0,0.25,0.2994385783465635,0.6553156665356217,0.01320452298969025,0.6388549795259559,False
double_dqn,63012,300000,16,1.0,0.0,0.0,54.5,0.0,0.0,1.0,1.0,0.8912286094962669,0.9591387348240359,0.0100019374610337,0.6753086837793782,False
double_dqn,63013,0,16,0.0,0.0,1.0,400.0,1.0,0.0,1.0,0.0,0.07644062499999997,0.6525739224037772,0.0670901729003526,0.056214260678971124,False
double_dqn,63013,10000,16,0.6875,0.25,0.0625,80.6875,0.0625,0.0,1.0,0.5,0.5371095602619714,0.793035353380505,0.02447558924430415,0.4689141047562353,False
double_dqn,63013,25000,16,1.0,0.0,0.0,68.1875,0.0,0.0,1.0,1.0,0.7942217704714796,0.9060630799264486,0.0352598441639347,0.9251892925585221,False
double_dqn,63013,50000,16,0.25,0.0,0.75,315.125,0.6875,0.0625,1.0,0.0,0.23966818007046817,0.6016819402821441,0.0182864629765125,1.0245172157756395,False
double_dqn,63013,75000,16,0.3125,0.1875,0.5,227.0,0.5,0.0,1.0,0.0,0.2410250463866885,0.6090964085618938,0.0191496715322136,0.861266974162767,False
double_dqn,63013,100000,16,0.9375,0.0625,0.0,56.5625,0.0,0.0,1.0,0.875,0.8185643112204893,0.9208112183876656,0.0111866493955637,0.6482019630447391,False
double_dqn,63013,150000,16,0.75,0.0,0.25,146.3125,0.25,0.0,1.0,0.5,0.6721323470856525,0.8764759722272674,0.01091088557606015,0.8647109375446773,False
double_dqn,63013,200000,16,0.125,0.0,0.875,363.6875,0.75,0.0,1.0,0.0,0.11442365926072778,0.5172639192517181,0.00976759184151885,0.8233355199012635,False
double_dqn,63013,250000,16,0.9375,0.0,0.0625,120.0,0.0625,0.0,1.0,0.875,0.6019931813302628,0.8041935904335553,0.01100595399376145,0.6798396869367722,False
double_dqn,63013,300000,16,0.75,0.125,0.125,103.0625,0.0,0.125,1.0,0.625,0.6028292257892243,0.7676447647011984,0.00824304965889855,0.7258150973854774,False
double_dqn,63014,0,16,0.0,0.0,1.0,400.0,1.0,0.0,1.0,0.0,0.035643749999999974,0.5975882732037949,0.11151936644397203,0.11187284074694613,False
double_dqn,63014,10000,16,0.125,0.0625,0.8125,335.375,0.8125,0.0,1.0,0.0,0.12714215664397482,0.6315696726858412,0.09488996427040544,1.3080235028408937,False
double_dqn,63014,25000,16,0.3125,0.0,0.6875,308.25,0.625,0.0625,1.0,0.125,0.22163619963936593,0.5711638399654264,0.0302600467205047,1.2543958397533055,False
double_dqn,63014,50000,16,0.0,0.0,1.0,400.0,0.375,0.625,1.0,0.0,0.03519374999999997,0.3314457644073418,0.0307872926443815,1.370595673224889,False
double_dqn,63014,75000,16,0.0,0.0,1.0,400.0,0.75,0.0,1.0,0.0,0.04359999999999986,0.5139214055711568,0.0141827075183391,1.0315063925320282,False
double_dqn,63014,100000,16,0.0,0.0,1.0,400.0,0.5625,0.4375,1.0,0.0,0.03628124999999993,0.4181496758893392,0.0039403916150331005,0.8206929303868673,False
double_dqn,63014,150000,16,0.8125,0.1875,0.0,80.4375,0.0,0.0,1.0,0.625,0.4868291146256659,0.7341599642192285,0.01251281296744975,0.6368286144432851,False
double_dqn,63014,200000,16,0.875,0.125,0.0,74.25,0.0,0.0,1.0,0.75,0.6152810484521131,0.7967786094694762,0.0068262317715162,0.6549928469600059,False
double_dqn,63014,250000,16,1.0,0.0,0.0,66.9375,0.0,0.0,1.0,1.0,0.8293403750114655,0.9234992267976792,0.0048104288039861505,0.6513667777220542,False
double_dqn,63014,300000,16,1.0,0.0,0.0,59.5625,0.0,0.0,1.0,1.0,0.8590104000359433,0.942447127465666,0.011774788095083599,0.6435086193975054,False
double_dqn,63015,0,16,0.375,0.625,0.0,38.375,0.0,0.0,1.0,0.375,0.30819232722385276,0.6340111772453534,0.114560872858624,0.08513433232913956,False
double_dqn,63015,10000,16,0.625,0.375,0.0,47.5625,0.0,0.0,1.0,0.375,0.5027173538858682,0.7475836317039884,0.02747181878828205,0.46910718333319507,False
double_dqn,63015,25000,16,0.5,0.125,0.375,204.0625,0.25,0.0625,1.0,0.125,0.32803575377342015,0.6583067301438056,0.032947835028438496,1.0414881820850603,False
double_dqn,63015,50000,16,1.0,0.0,0.0,71.375,0.0,0.0,1.0,1.0,0.742664907446535,0.8694173857032216,0.02474870248681455,0.7548328138792494,False
double_dqn,63015,75000,16,0.5625,0.0625,0.375,201.3125,0.0,0.0,1.0,0.25,0.3989234240252766,0.6909462182881625,0.0115730576673269,0.8239014206019677,False
double_dqn,63015,100000,16,0.6875,0.0,0.3125,169.5625,0.0,0.3125,1.0,0.375,0.5585676866442429,0.7170580373295063,0.00752382175313685,0.7530570751242796,False
double_dqn,63015,150000,16,1.0,0.0,0.0,70.625,0.0,0.0,1.0,1.0,0.7580283749045408,0.8902877390634315,0.0200588531310285,0.7717526631082255,False
double_dqn,63015,200000,16,1.0,0.0,0.0,64.3125,0.0,0.0,1.0,1.0,0.8025047842503946,0.8985853480088228,0.0240627491211099,0.7611979045093071,False
double_dqn,63015,250000,16,0.9375,0.0625,0.0,46.5625,0.0,0.0,1.0,0.875,0.8555463358641306,0.9399196367807674,0.0148146978085455,0.7032075993368396,False
double_dqn,63015,300000,16,1.0,0.0,0.0,74.0625,0.0,0.0,1.0,1.0,0.748916191967929,0.8689766204387364,0.01383526865688575,0.6564330497969926,False
double_dqn,63016,0,16,0.1875,0.8125,0.0,27.1875,0.0,0.0,1.0,0.0,0.1702791070045856,0.5697227460679066,0.0190886078832729,0.036354524681631334,False
double_dqn,63016,10000,16,0.6875,0.3125,0.0,56.0,0.0,0.0,1.0,0.375,0.550539611481268,0.7774497344016364,0.01883357120336955,0.3931291290137277,False
double_dqn,63016,25000,16,0.5,0.0,0.5,234.75,0.4375,0.0625,1.0,0.0,0.43093723379592097,0.6918742807914706,0.05087752946717005,1.2379537171043367,False
double_dqn,63016,50000,16,0.1875,0.0,0.8125,339.0625,0.625,0.0,1.0,0.0,0.20376988758929504,0.6045813062425232,0.0270822513988241,1.0731532519332196,False
double_dqn,63016,75000,16,0.5,0.0,0.5,233.5,0.5,0.0,1.0,0.0,0.4100996952001922,0.6955955787545671,0.0128479959070682,0.8459568784444678,False
