seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,P_yield_given_worse,P_yield_given_better,RY,priority_pairs,priority_to_worse_off,P_priority_worse,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,rate_burden_worse,rate_burden_better,BC,worst_off_samples,recovery_n_k10,Recovery_k10,GapClosure_k10,recovery_n_k25,Recovery_k25,GapClosure_k25,recovery_n_k50,Recovery_k50,GapClosure_k50
900103,ggi,wsc,ALL,18696.0,102843.0,636.0,4222.0,0.03401797175866496,0.04105286699143355,0.8286381500654619,75.0,72.0,0.96,18696.0,102843.0,226.0,599.0,0.012088147197261446,0.005824411967756678,2.0754279168747227,6676.0,6427.0,0.008770316224089527,0.008770316224089527,4383.0,0.019725996512857984,0.019725996512857984,674.0,0.03817184229046129,0.03817184229046129
900103,maximin,original,ALL,36845.0,85097.0,1256.0,4827.0,0.03408875016962953,0.056723503766290234,0.6009634085736407,53.0,0.0,0.0,36845.0,85097.0,673.0,763.0,0.01826570769439544,0.008966238527797689,2.0371650428177834,11717.0,11354.0,0.00712544787917877,0.006329762315412738,7659.0,0.01997063871245183,0.017712774576663894,1380.0,0.06706727123391419,0.06120355164715266
900103,maximin,wsc,ALL,6576.0,128484.0,98.0,2297.0,0.014902676399026763,0.017877712399987547,0.8335896710720743,10.0,0.0,0.0,6576.0,128484.0,68.0,162.0,0.010340632603406326,0.0012608573830204539,8.201270613679373,2567.0,2385.0,-0.0028082211855203387,-0.0029356079895786463,1670.0,0.004451385344985409,0.004137484181921156,364.0,-0.01154241492263982,-0.011451743751624202
900104,baseline,original,ALL,9123.0,118347.0,220.0,1544.0,0.02411487449303957,0.013046380558865032,1.8483957588262656,3.0,3.0,1.0,9123.0,118347.0,74.0,276.0,0.008111366874931492,0.002332125022180537,3.4781012157518743,3094.0,3081.0,0.002318757440977533,0.0024154821143515573,2100.0,0.007056023271908075,0.0071916876835606295,280.0,0.006441268462235208,0.008906323364695653
900104,baseline,wsc,ALL,21500.0,109694.0,2295.0,14205.0,0.10674418604651163,0.12949659963170274,0.8243010731563567,2.0,2.0,1.0,21500.0,109694.0,361.0,654.0,0.016790697674418605,0.005962039856327602,2.8162672640637223,6086.0,5941.0,0.005136952164820681,0.005923422578015243,4000.0,0.014868240645627577,0.01613412726348363,324.0,0.05981533586043945,0.08180755590591102
900104,mean,original,ALL,0.0,127423.0,0.0,8698.0,nan,0.06826083203189377,nan,0.0,0.0,nan,0.0,127423.0,0.0,1741.0,nan,0.013663153433838475,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900104,mean,wsc,ALL,16557.0,86526.0,717.0,14951.0,0.04330494654828773,0.17279199315812588,0.25061894221370773,139.0,0.0,0.0,16557.0,86526.0,121.0,1311.0,0.007308087213867246,0.015151515151515152,0.48233375611523827,7320.0,7242.0,0.00856403251111138,0.008537022344723956,4883.0,0.019411632743724993,0.019362832370805792,410.0,0.055116930235594115,0.05510023850764842
900104,ggi,original,ALL,401.0,123012.0,6.0,7161.0,0.014962593516209476,0.05821383279680031,0.2570281460153554,0.0,0.0,nan,401.0,123012.0,6.0,994.0,0.014962593516209476,0.008080512470328097,1.8516886857303423,114.0,101.0,0.0003665422924717393,0.0003665422924717393,56.0,0.0008765702972238657,0.0008765702972238657,0.0,nan,nan
900104,ggi,wsc,ALL,3226.0,125869.0,20.0,24152.0,0.006199628022318661,0.19188203608513613,0.03230958013999783,0.0,0.0,nan,3226.0,125869.0,2.0,474.0,0.0006199628022318661,0.0037658200192263384,0.16462889863738978,3757.0,3634.0,-0.005272145098279293,-0.0011429761304495756,2524.0,-0.00011574596631445326,0.012462405647210595,699.0,-0.025484874136169962,0.011704655104339292
900104,maximin,original,ALL,5453.0,116742.0,2522.0,20385.0,0.46249770768384374,0.17461581949940896,2.648658689743796,1.0,0.0,0.0,5453.0,116742.0,20.0,224.0,0.0036677058499908306,0.0019187610285929656,1.9114969479447748,7538.0,6806.0,-0.052491937749650164,-0.004810181510978996,5686.0,-0.13903306961721884,0.004192768568665911,3862.0,-0.3020858570578619,0.09723238854709922
900104,maximin,wsc,ALL,368.0,140786.0,53.0,23687.0,0.14402173913043478,0.1682482633216371,0.8560072852289184,0.0,0.0,nan,368.0,140786.0,7.0,1505.0,0.019021739130434784,0.010689983379029164,1.779398382204247,210.0,197.0,-0.02723668066683714,-0.01771996287076437,124.0,-0.07047242029862238,-0.04201475761416669,1.0,-0.2523913758178551,-0.17912785722520663
910101,baseline,original,ALL,177.0,129397.0,0.0,15480.0,0.0,0.11963183072250516,0.0,0.0,0.0,nan,177.0,129397.0,0.0,592.0,0.0,0.004575067428147484,0.0,276.0,276.0,-0.0023321106629456555,0.00019652250055686177,185.0,-0.002730127482782259,0.003370684912311381,0.0,nan,nan
