validation_block_id,assignment,script_id,episode_length,terminated,truncated,term_reason,G_A_undiscounted,G_B_undiscounted,G_A_discounted,G_B_discounted,progress_A,progress_B,exit_A,exit_B,collision_component_sum,hard_braking_component_sum,success
validation_004,1,mutual_yield_decel,400,False,True,truncation,-0.18438576630969603,-0.17004807692307758,-0.16716981924342836,-0.15634089016308136,0.10248923369030367,0.08307692307692308,0.0,0.0,0.0,-0.5400000000000003,False
validation_004,1,accelerate_insist,18,True,False,collision,-0.869387720585077,-0.8803692307692305,-0.7933962034094274,-0.8039234241280441,0.1306122794149231,0.11963076923076951,0.0,0.0,-2.0,0.0,False
validation_004,1,mainline_bias_success_attempt,111,True,False,success,0.9631038758714908,0.6957980769230763,0.8083444661904123,0.427411899074447,0.3631038758714908,0.34892307692307684,0.6,0.6,0.0,-0.2531250000000006,True
validation_005,0,maintain_only,70,True,False,success,0.940923076923077,0.9508051678286543,0.7133294653937926,0.7567569031319719,0.3409230769230765,0.3508051678286546,0.6,0.6,0.0,0.0,True
validation_005,0,mutual_yield_decel,400,False,True,truncation,-0.16217147435897605,-0.18438576630969594,-0.1506364608822361,-0.16716981924342827,0.06564102564102547,0.10248923369030376,0.0,0.0,0.0,-0.5146875000000013,False
validation_005,0,accelerate_insist,46,True,False,success,0.940923076923077,0.9508051678286543,0.7810381479713486,0.8008309143409653,0.3409230769230771,0.3508051678286544,0.6,0.6,0.0,0.0,True
validation_005,0,mainline_bias_success_attempt,103,True,False,success,0.940923076923077,0.6639301678286547,0.7810381479713486,0.42820354900335994,0.3409230769230771,0.3508051678286541,0.6,0.6,0.0,-0.28687499999999955,True
validation_005,1,maintain_only,70,True,False,success,0.9508051678286543,0.940923076923077,0.7567569031319719,0.7133294653937926,0.3508051678286546,0.3409230769230765,0.6,0.6,0.0,0.0,True
validation_005,1,mutual_yield_decel,400,False,True,truncation,-0.18438576630969594,-0.16217147435897605,-0.16716981924342827,-0.1506364608822361,0.10248923369030376,0.06564102564102547,0.0,0.0,0.0,-0.5146875000000013,False
validation_005,1,accelerate_insist,46,True,False,success,0.9508051678286543,0.940923076923077,0.8008309143409653,0.7810381479713486,0.3508051678286544,0.3409230769230771,0.6,0.6,0.0,0.0,True
validation_005,1,mainline_bias_success_attempt,116,True,False,success,0.9508051678286543,0.7131105769230754,0.8008309143409653,0.42245745232737975,0.3508051678286544,0.34092307692307683,0.6,0.6,0.0,-0.22781250000000158,True
validation_006,0,maintain_only,22,True,False,collision,-0.8929230769230773,-0.8796263950307381,-0.7983885725070613,-0.7857597325127733,0.1070769230769227,0.12037360496926186,0.0,0.0,-2.0,0.0,False
validation_006,0,mutual_yield_decel,400,False,True,truncation,-0.16217147435897605,-0.1701087207108548,-0.1506364608822361,-0.15639874827946385,0.06564102564102547,0.08301627928914584,0.0,0.0,0.0,-0.4809375000000022,False
validation_006,0,accelerate_insist,18,True,False,collision,-0.8932269230769228,-0.8823897609941131,-0.816177209406679,-0.8057822201004927,0.10677307692307719,0.11761023900588691,0.0,0.0,-2.0,0.0,False
validation_006,0,mainline_bias_success_attempt,111,True,False,success,0.940923076923077,0.6958353616222283,0.7810381479713486,0.42737250582711617,0.3409230769230771,0.3489603616222289,0.6,0.6,0.0,-0.2531250000000006,True
validation_006,1,maintain_only,22,True,False,collision,-0.8796263950307381,-0.8929230769230773,-0.7857597325127733,-0.7983885725070613,0.12037360496926186,0.1070769230769227,0.0,0.0,-2.0,0.0,False
validation_006,1,mutual_yield_decel,400,False,True,truncation,-0.1701087207108548,-0.16217147435897605,-0.15639874827946385,-0.1506364608822361,0.08301627928914584,0.06564102564102547,0.0,0.0,0.0,-0.4809375000000022,False
validation_006,1,accelerate_insist,18,True,False,collision,-0.8823897609941131,-0.8932269230769228,-0.8057822201004927,-0.816177209406679,0.11761023900588691,0.10677307692307719,0.0,0.0,-2.0,0.0,False
validation_006,1,mainline_bias_success_attempt,116,True,False,success,0.9489603616222289,0.7131105769230754,0.7947415827993178,0.42245745232737975,0.3489603616222289,0.34092307692307683,0.6,0.6,0.0,-0.22781250000000158,True
validation_007,0,maintain_only,20,True,False,collision,-0.8769230769230769,-0.8893116276144718,-0.7917537757666749,-0.803571154772132,0.12307692307692304,0.11068837238552821,0.0,0.0,-2.0,0.0,False
validation_007,0,mutual_yield_decel,400,False,True,truncation,-0.184310897435897,-0.17010872071085478,-0.16709877563594194,-0.1563987482794638,0.10256410256410274,0.08301627928914587,0.0,0.0,0.0,-0.5400000000000003,False
validation_007,0,accelerate_insist,18,True,False,collision,-0.8692923076923074,-0.8804565578236296,-0.7933049485603633,-0.8040069277923629,0.13070769230769258,0.11954344217637033,0.0,0.0,-2.0,0.0,False
validation_007,0,mainline_bias_success_attempt,109,True,False,success,0.9569230769230769,0.6847665243836755,0.8058096851784157,0.4244368889605832,0.3569230769230771,0.3378915243836761,0.6,0.6,0.0,-0.2531250000000006,True
validation_007,1,maintain_only,20,True,False,collision,-0.8893116276144718,-0.8769230769230769,-0.803571154772132,-0.7917537757666749,0.11068837238552821,0.12307692307692304,0.0,0.0,-2.0,0.0,False
validation_007,1,mutual_yield_decel,400,False,True,truncation,-0.17010872071085478,-0.184310897435897,-0.1563987482794638,-0.16709877563594194,0.08301627928914587,0.10256410256410274,0.0,0.0,0.0,-0.5400000000000003,False
validation_007,1,accelerate_insist,18,True,False,collision,-0.8804565578236296,-0.8692923076923074,-0.8040069277923629,-0.7933049485603633,0.11954344217637033,0.13070769230769258,0.0,0.0,-2.0,0.0,False
validation_007,1,mainline_bias_success_attempt,104,True,False,success,0.9378915243836761,0.6700480769230772,0.7882356292309118,0.43012771171207764,0.33789152438367615,0.3569230769230769,0.6,0.6,0.0,-0.28687499999999955,True
validation_008,0,maintain_only,22,True,False,collision,-0.8929230769230773,-0.8796263950307383,-0.7983885725070613,-0.7857597325127734,0.1070769230769227,0.12037360496926185,0.0,0.0,-2.0,0.0,False
validation_008,0,mutual_yield_decel,400,False,True,truncation,-0.16217147435897605,-0.17010872071085484,-0.1506364608822361,-0.15639874827946387,0.06564102564102547,0.08301627928914582,0.0,0.0,0.0,-0.4809375000000022,False
validation_008,0,accelerate_insist,19,True,False,collision,-0.889657692307692,-0.8785156679606196,-0.8083161555385845,-0.7976419060817492,0.11034230769230798,0.12148433203938044,0.0,0.0,-2.0,0.0,False
validation_008,0,mainline_bias_success_attempt,112,True,False,success,0.940923076923077,0.7013697802415046,0.7810381479713486,0.42882674379343294,0.3409230769230771,0.35449478024150527,0.6,0.6,0.0,-0.2531250000000006,True
validation_008,1,maintain_only,22,True,False,collision,-0.8796263950307383,-0.8929230769230773,-0.7857597325127734,-0.7983885725070613,0.12037360496926185,0.1070769230769227,0.0,0.0,-2.0,0.0,False
validation_008,1,mutual_yield_decel,400,False,True,truncation,-0.17010872071085484,-0.16217147435897605,-0.15639874827946387,-0.1506364608822361,0.08301627928914582,0.06564102564102547,0.0,0.0,0.0,-0.4809375000000022,False
validation_008,1,accelerate_insist,19,True,False,collision,-0.8785156679606196,-0.889657692307692,-0.7976419060817492,-0.8083161555385845,0.12148433203938044,0.11034230769230798,0.0,0.0,-2.0,0.0,False
validation_008,1,mainline_bias_success_attempt,116,True,False,success,0.9544947802415052,0.7131105769230754,0.7967685463783569,0.42245745232737975,0.3544947802415053,0.34092307692307683,0.6,0.6,0.0,-0.22781250000000158,True
