master_seed,checkpoint_step,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,mean_episode_length
64020,125000,0.8125,0.125,0.0625,0.375,16,84.3125
64020,150000,1.0,0.0,0.0,0.5,16,63.375
64020,175000,0.6875,0.3125,0.0,0.0,16,43.3125
64020,200000,0.9375,0.0,0.0625,0.125,64,75.0
64020,225000,0.875,0.0,0.125,0.0,64,106.25
64020,250000,0.5,0.0,0.5,0.0,64,234.75
64020,275000,0.5,0.0,0.5,0.0,64,230.125
64020,300000,0.9375,0.0625,0.0,0.375,64,78.0625
64020,325000,1.0,0.0,0.0,0.5,64,66.375
64020,350000,0.9375,0.0,0.0625,0.5,64,82.5
64020,375000,0.9375,0.0625,0.0,0.125,64,54.125
64020,400000,1.0,0.0,0.0,0.375,64,59.0625
