condition,seed,checkpoint,n_episodes,success,collision,truncation,mean_utility,mean_Q_margin,mean_abs_best_Q
double_dqn,63007,100000,16,0.4375,0.0,0.5625,0.659157989259099,0.028421066795192018,0.782710715396974
double_dqn,63007,150000,16,0.6875,0.125,0.1875,0.812599767358702,0.027541737377077,1.0194828720808249
double_dqn,63007,200000,16,0.75,0.0625,0.1875,0.8516144134625703,0.018586911005887632,0.752947790405112
double_dqn,63007,250000,16,1.0,0.0,0.0,0.9629911786574272,0.02239972628236022,0.7467791511870792
double_dqn,63007,300000,16,0.0,0.0,1.0,0.6256950217875286,0.07147017861250783,0.5631392346974462
double_dqn,63008,0,16,0.0,0.0,1.0,0.27988664974211214,0.12055129186526754,0.10248871846328253
double_dqn,63008,10000,16,0.25,0.6875,0.0625,0.6035273792231081,0.04396437027039321,0.4996441849995461
double_dqn,63008,25000,16,0.5625,0.0625,0.375,0.641841890566955,0.028398927592418376,0.8918244431686447
double_dqn,63008,50000,16,0.5,0.0625,0.4375,0.7068817951634737,0.03224186272013945,1.0241680822673502
double_dqn,63008,75000,16,0.8125,0.0625,0.125,0.7935434807180441,0.011002416939176675,0.6890864016647056
double_dqn,63008,100000,16,0.875,0.125,0.0,0.8535615744562254,0.0070448830818766375,0.6555230943663675
double_dqn,63008,150000,16,1.0,0.0,0.0,0.9087226331680004,0.010712544850709813,0.6867505008085678
double_dqn,63008,200000,16,1.0,0.0,0.0,0.9644948394699661,0.006471410950476875,0.7167166299635053
double_dqn,63008,250000,16,0.875,0.125,0.0,0.8724696270499529,0.00930179314238403,0.6684443639826946
double_dqn,63008,300000,16,0.6875,0.1875,0.125,0.7845730829682321,0.01269955024274707,0.707770407211971
double_dqn,63009,0,16,0.0,0.0,1.0,0.30357766536711217,0.08137277126297701,0.07814981953968524
double_dqn,63009,10000,16,0.625,0.375,0.0,0.7792936147373866,0.023863490800698064,0.4222643416490629
double_dqn,63009,25000,16,0.9375,0.0,0.0625,0.8273686885802708,0.02888397990472809,0.874537573149488
double_dqn,63009,50000,16,0.875,0.0625,0.0625,0.8114352349715166,0.011579705994547863,0.7583229692820783
double_dqn,63009,75000,16,1.0,0.0,0.0,0.9518020955095898,0.006621395345487888,0.6883269133600389
double_dqn,63009,100000,16,0.875,0.125,0.0,0.9030134226709602,0.012216057502751844,0.6869325249356146
double_dqn,63009,150000,16,0.75,0.1875,0.0625,0.855292632082894,0.010050355545536894,0.7164504459172992
double_dqn,63009,200000,16,1.0,0.0,0.0,0.9644952896931058,0.00874624396105495,0.7060712736676429
double_dqn,63009,250000,16,1.0,0.0,0.0,0.9488726043611408,0.017078062762846513,0.6766575681800059
double_dqn,63009,300000,16,0.5,0.1875,0.3125,0.7387150115378475,0.004636245668119437,0.7716517786706708
double_dqn,63010,0,16,0.4375,0.0,0.5625,0.67701771316019,0.09328802864994085,0.13197082905884333
double_dqn,63010,10000,16,0.5625,0.3125,0.125,0.7320167050528708,0.03888182976267798,0.519389195459556
double_dqn,63010,25000,16,0.8125,0.1875,0.0,0.7022602484563731,0.03215187600889135,1.0611545961377717
double_dqn,63010,50000,16,0.75,0.0,0.25,0.675535885711423,0.018111649348586938,0.7646325525768638
double_dqn,63010,75000,16,0.5,0.25,0.25,0.7041178419657963,0.016443731785655925,0.6226493826521227
