seed,condition,orig_completion,orig_collision,orig_U_min,orig_gini,wsc_completion,wsc_collision,wsc_U_min,wsc_gini,delta_completion_wsc_minus_orig,delta_collision_wsc_minus_orig,orig_contrast_Umin_vs_baseline,wsc_contrast_Umin_vs_baseline,I_Umin,orig_contrast_gini_vs_baseline,wsc_contrast_gini_vs_baseline,I_Gini
910102,mean,0.03515625,0.96484375,0.03515625,0.4824654776484407,0.75,0.25,0.741550419277386,0.12700188370108728,0.71484375,-0.71484375,-0.6781279244370693,0.24545666927738596,0.9235845937144552,0.3395284870010033,-0.12495124129891272,-0.464479728299916
910102,ggi,0.53515625,0.38671875,0.5482429916883681,0.2030329331436295,0.98046875,0.01953125,0.98046875,0.009765625,0.4453125,-0.3671875,-0.16504118274870117,0.484375,0.6494161827487012,0.06009594249619207,-0.2421875,-0.3022834424961921
910102,maximin,0.65625,0.34375,0.5907164533716519,0.18682279422880627,0.23046875,0.76953125,0.22766736693725081,0.3859299506340813,-0.42578125,0.42578125,-0.12256772106541736,-0.2684263830627492,-0.14585866199733183,0.04388580358136884,0.1339768256340813,0.09009102205271247
920101,baseline,0.8984375,0.1015625,0.889071513885612,0.05262856834440328,0.80078125,0.19921875,0.8007199669643582,0.09962087142414876,-0.09765625,0.09765625,,,,,,
920101,mean,1.0,0.0,1.0,0.0,0.98828125,0.01171875,0.98828125,0.005859375,-0.01171875,0.01171875,0.11092848611438799,0.1875612830356418,0.0766327969212538,-0.05262856834440328,-0.09376149642414876,-0.04113292807974548
920101,ggi,0.98828125,0.01171875,0.9858163958739556,0.0063818570581038875,1.0,0.0,0.9985249074504596,0.0002848081153331687,0.01171875,-0.01171875,0.09674488198834363,0.19780494048610142,0.10106005849775779,-0.04624671128629939,-0.09933606330881559,-0.0530893520225162
920101,maximin,0.984375,0.015625,0.9812798750926495,0.008522391200630756,0.9921875,0.0078125,0.9670261800691362,0.009810620876654758,0.0078125,-0.0078125,0.09220836120703746,0.166306213104778,0.07409785189774054,-0.04410617714377252,-0.089810250547494,-0.045704073403721485
920102,baseline,0.890625,0.109375,0.8966372728309078,0.04819268771761359,0.84765625,0.15234375,0.8475737402155366,0.07618783809905846,-0.04296875,0.04296875,,,,,,
920102,mean,0.93359375,0.06640625,0.9330041889706947,0.033326888092388235,0.546875,0.453125,0.5465185091458503,0.22663803213474185,-0.38671875,0.38671875,0.03636691613978693,-0.30105523106968624,-0.33742214720947317,-0.014865799625225357,0.15045019403568338,0.16531599366090874
920102,ggi,0.84375,0.15625,0.8428337771064066,0.07829862995756902,0.98046875,0.01953125,0.9739996745919339,0.011280359862145536,0.13671875,-0.13671875,-0.05380349572450116,0.12642593437639738,0.18022943010089854,0.030105942239955427,-0.06490747823691292,-0.09501342047686835
