policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index
13,2.6,A,mainline,True,False,86.36000000000013,23.200000000000074,2,decelerate,-3.0,-2.9999999999999716,61.86000000000007,12.200000000000028,2,2,decelerate-decelerate,-0.1602768748998642,0.04182003438472748,0.047330133616924286,2,0.047330133616924286,0.04182003438472748,0.005510099232196808,0.20760700851678848,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
13,2.6,B,ramp,True,False,61.86000000000007,12.200000000000028,2,decelerate,-3.0,-3.000000000000007,86.36000000000013,23.200000000000074,2,2,decelerate-decelerate,-0.09803895652294159,-0.06897898763418198,0.03294438123703003,2,0.03294438123703003,-0.06897898763418198,0.101923368871212,0.13098333775997162,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
13,2.6,B_front,background_mainline,True,,172.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
13,2.6,B_rear,background_mainline,True,,53.389911251876285,19.161379619083846,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
14,2.8000000000000003,A,mainline,True,False,90.94000000000014,22.60000000000008,2,decelerate,-3.0,-2.9999999999999716,64.24000000000008,11.600000000000026,2,2,decelerate-decelerate,-0.15920224785804749,0.04152587801218033,0.05000705271959305,2,0.05000705271959305,0.04152587801218033,0.00848117470741272,0.20920930057764053,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
14,2.8000000000000003,B,ramp,True,False,64.24000000000008,11.600000000000026,2,decelerate,-3.0,-3.000000000000007,90.94000000000014,22.60000000000008,2,2,decelerate-decelerate,-0.09839566051959991,-0.07091061770915985,0.032431378960609436,2,0.032431378960609436,-0.07091061770915985,0.10334199666976929,0.13082703948020935,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
14,2.8000000000000003,B_front,background_mainline,True,,176.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
14,2.8000000000000003,B_rear,background_mainline,True,,57.2225379991162,19.161379974665657,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
15,3.0,A,mainline,True,False,95.40000000000015,22.000000000000085,2,decelerate,-3.0,-2.9999999999999716,66.50000000000009,11.000000000000025,2,2,decelerate-decelerate,-0.15816287696361542,0.0412495881319046,0.05259719491004944,2,0.05259719491004944,0.0412495881319046,0.011347606778144836,0.21076007187366486,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
15,3.0,B,ramp,True,False,66.50000000000009,11.000000000000025,2,decelerate,-3.0,-3.000000000000007,95.40000000000015,22.000000000000085,2,2,decelerate-decelerate,-0.09873324632644653,-0.07289496064186096,0.031835757195949554,2,0.031835757195949554,-0.07289496064186096,0.10473071783781052,0.1305690035223961,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
