seed,step,artifact,path,exists,published,size_bytes,mtime_ns,sha256_recorded,sha256_actual,contains_online_network,contains_target_network,contains_optimizer,contains_replay,contains_rng_state,contains_schedule_state,resumable,availability,sha256_after,unchanged
61006,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61006/ckpt_step_050000.pt,False,False,44289104,nan,2c4c504756f037d502ca929728d4d905735a882dc7417059cb53346e042c585e,nan,True,True,True,True,True,True,False,missing_local_only,,True
61006,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61006/ckpt_step_075000.pt,False,False,43231568,nan,214290ec747a489f1b4305bcd36cc55d464e92b3569d715536df5249db94a9f1,nan,True,True,True,True,True,True,False,missing_local_only,,True
61006,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61006/ckpt_step_100000.pt,False,False,43145936,nan,ab6c93a0bdc7d4f7e26f842ddfbf07e0f878cf579596801b704e92eaeba5adb9,nan,True,True,True,True,True,True,False,missing_local_only,,True
61007,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61007/ckpt_step_010000.pt,False,False,18654928,nan,91c6e8a9bde8c63e85d3549c9e805cfa953c31f0b9bac8c3f97747a871c55b35,nan,True,True,True,True,True,True,False,missing_local_only,,True
61007,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61007/ckpt_step_025000.pt,False,False,45389456,nan,a812f0cc71d04d7c1d967e0660f08c135e11389b82d29b2c24bec7cbea025c2d,nan,True,True,True,True,True,True,False,missing_local_only,,True
61007,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61007/ckpt_step_050000.pt,False,False,44934544,nan,3436a2cbcdbf8638014e388b67b74047708b48dc0a814531e749594e6ae64bd3,nan,True,True,True,True,True,True,False,missing_local_only,,True
61007,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61007/ckpt_step_075000.pt,False,False,44390288,nan,6e41b0e1d2d78734e70adbbe4668088be378b864f69db7bf829315e5dd084871,nan,True,True,True,True,True,True,False,missing_local_only,,True
61007,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61007/ckpt_step_100000.pt,False,False,46459984,nan,fa4be1111941feb9ef6380fb5b3df36ff213e1a2f69e3850de69170e29410b56,nan,True,True,True,True,True,True,False,missing_local_only,,True
61008,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61008/ckpt_step_010000.pt,False,False,20692816,nan,51f61446d0446c4b629afd6b18a1fa6918c38ea92ec58c57b41e404974a680e9,nan,True,True,True,True,True,True,False,missing_local_only,,True
61008,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61008/ckpt_step_025000.pt,False,False,46504912,nan,9db6dc9cd0c5f65590cc460c8309087c1b44e75bc5c1d571bc035c4e0db06260,nan,True,True,True,True,True,True,False,missing_local_only,,True
61008,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61008/ckpt_step_050000.pt,False,False,43719248,nan,e5f14a2c3c1301453c9b3e584cb2905052648492260dbf87ee16195e5b768ead,nan,True,True,True,True,True,True,False,missing_local_only,,True
61008,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61008/ckpt_step_075000.pt,False,False,43433168,nan,72a604fb0eb1b450ad877d9b7cb908b7c0dd8e7f6102f3ce56919b33bde1c436,nan,True,True,True,True,True,True,False,missing_local_only,,True
